"","resource","site","min66","max66","min95","max95","min99","max99","latitude","longitude","name"
"1","GM","1","2023-7-11","2023-7-21","2023-7-7","2023-7-26","2023-7-4","2023-7-28",42.698,-80.497,"Backus_Heritage_Conservation_Area"
"2","GM","2","2023-7-21","2023-7-29","2023-7-17","2023-8-2","2023-7-15","2023-8-5",42.879,-81.475,"Komoka"
"3","GM","3","2023-7-23","2023-8-2","2023-7-17","2023-8-7","2023-7-15","2023-8-12",43.308,-80.416,"Pinehurst_Lake"
"4","GM","4","2023-8-4","2023-8-13","2023-7-31","2023-8-19","2023-7-29","2023-8-23",44.464,-76.597,"Frontenac"
"5","GM","5","2023-8-3","2023-8-12","2023-7-30","2023-8-17","2023-7-27","2023-8-19",43.732,-81.64,"Gould_Lake"
"6","GM","6","2023-7-30","2023-8-9","2023-7-25","2023-8-14","2023-7-22","2023-8-17",44.814,-77.048,"Morris_Tract"
"7","GM","7","2023-7-26","2023-8-5","2023-7-21","2023-8-11","2023-7-19","2023-8-14",44.147,-81.344,"Bon_Echo"
"8","GM","8","2023-7-29","2023-8-9","2023-7-24","2023-8-16","2023-7-22","2023-8-20",44.035,-79.53,"Greenock_Swamp"
"9","GM","9","2023-7-25","2023-8-3","2023-7-21","2023-8-9","2023-7-19","2023-8-12",45.333,-76.368,"Thorton_Bales"
"10","GM","10","2023-7-19","2023-7-26","2023-7-15","2023-7-31","2023-7-14","2023-8-3",43.645,-79.465,"Koffler"
"11","GM","11","2023-7-16","2023-7-25","2023-7-12","2023-7-30","2023-7-10","2023-8-2",42.76,-82.391,"Alexander_Stewart"
"12","GM","12","2023-7-11","2023-7-20","2023-7-6","2023-7-26","2023-7-2","2023-7-29",43.321,-79.912,"High_Park"
"13","GM","13","2023-8-2","2023-8-12","2023-7-28","2023-8-19","2023-7-25","2023-8-24",44.236,-80.043,"Crothers"
"14","GM","14","2023-7-16","2023-7-24","2023-7-12","2023-7-29","2023-7-10","2023-8-2",44.27,-77.538,"Clappison_Woods"
"15","GM","15","2023-7-29","2023-8-7","2023-7-24","2023-8-13","2023-7-21","2023-8-17",43.707,-79.979,"_Dufferin_County_Forest"
"16","GM","16","2023-7-27","2023-8-6","2023-7-22","2023-8-12","2023-7-20","2023-8-16",44.641,-79.697,"Iroquois_Trail"
"17","GM","17","2023-7-23","2023-8-1","2023-7-19","2023-8-6","2023-7-17","2023-8-8",44.507,-76.042,"Terra_Cotta"
"18","GM","18","2023-7-19","2023-7-28","2023-7-14","2023-8-2","2023-7-12","2023-8-5",43.215,-81.892,NA
"19","GM","19","2023-7-21","2023-7-29","2023-7-17","2023-8-2","2023-7-15","2023-8-5",42.991,-79.753,"Charleston_Lake"
"20","GM","20","2023-7-31","2023-8-8","2023-7-27","2023-8-13","2023-7-24","2023-8-16",44.801,-80.119,"Pinery"
"21","GM","21","2023-7-19","2023-7-27","2023-7-16","2023-7-31","2023-7-13","2023-8-2",43.09,-79.288,"Hedley_Forest"
"22","GM","22","2023-8-4","2023-8-12","2023-7-30","2023-8-19","2023-7-27","2023-8-23",44.109,-78.572,"Awenda"
"23","GM","23","2023-8-1","2023-8-12","2023-7-28","2023-8-18","2023-7-25","2023-8-22",44.756,-78.172,"Short_Hills"
"24","GM","24","2023-8-26","2023-9-9","2023-8-19","2023-9-16","2023-8-16","2023-9-19",46.944,-84.551,"Ganaraska_Forest"
"25","GM","25","2023-8-5","2023-8-14","2023-7-31","2023-8-19","2023-7-28","2023-8-22",46.579,-82.724,"Kawartha_Highlands"
"26","GM","26","2023-7-21","2023-7-31","2023-7-17","2023-8-4","2023-7-15","2023-8-7",46.29,-78.86,NA
"27","GM","27","2023-8-5","2023-8-18","2023-7-31","2023-8-26","2023-7-28","2023-8-31",46.219,-82.077,NA
"28","GM","28","2023-7-31","2023-8-10","2023-7-26","2023-8-17","2023-7-24","2023-8-21",45.556,-74.444,NA
"29","GM","29","2023-7-18","2023-7-26","2023-7-14","2023-7-30","2023-7-12","2023-8-1",42.5945,-81.8923,NA
"30","GM","30","2023-8-1","2023-8-11","2023-7-27","2023-8-17","2023-7-24","2023-8-20",44.8975,-77.2087,"Bon_Echo"
"31","GM","31","2023-7-24","2023-8-4","2023-7-19","2023-8-10","2023-7-17","2023-8-15",44.6193,-78.0441,"Petroglyphs"
"32","GM","32","2023-8-7","2023-8-17","2023-8-2","2023-8-21","2023-7-31","2023-8-25",46.812,-71.2052,"Fontenac"
