"","resource","site","minmax","CI","dates"
"1","resource","site","minmax","CI","dates"
"2","GM","1","min_date","CI66","2023-6-30"
"3","GM","1","max_date","CI66","2023-7-11"
"4","GM","1","min_date","CI95","2023-6-24"
"5","GM","1","max_date","CI95","2023-7-16"
"6","GM","1","min_date","CI99","2023-6-22"
"7","GM","1","max_date","CI99","2023-7-19"
"8","GM","2","min_date","CI66","2023-7-2"
"9","GM","2","max_date","CI66","2023-7-14"
"10","GM","2","min_date","CI95","2023-6-26"
"11","GM","2","max_date","CI95","2023-7-20"
"12","GM","2","min_date","CI99","2023-6-23"
"13","GM","2","max_date","CI99","2023-7-23"
"14","GM","3","min_date","CI66","2023-7-6"
"15","GM","3","max_date","CI66","2023-7-18"
"16","GM","3","min_date","CI95","2023-6-29"
"17","GM","3","max_date","CI95","2023-7-23"
"18","GM","3","min_date","CI99","2023-6-27"
"19","GM","3","max_date","CI99","2023-7-26"
"20","GM","4","min_date","CI66","2023-7-10"
"21","GM","4","max_date","CI66","2023-7-21"
"22","GM","4","min_date","CI95","2023-7-3"
"23","GM","4","max_date","CI95","2023-7-27"
"24","GM","4","min_date","CI99","2023-6-29"
"25","GM","4","max_date","CI99","2023-7-29"
"26","GM","5","min_date","CI66","2023-7-11"
"27","GM","5","max_date","CI66","2023-7-24"
"28","GM","5","min_date","CI95","2023-7-4"
"29","GM","5","max_date","CI95","2023-7-29"
"30","GM","5","min_date","CI99","2023-7-1"
"31","GM","5","max_date","CI99","2023-8-1"
"32","GM","6","min_date","CI66","2023-7-12"
"33","GM","6","max_date","CI66","2023-7-25"
"34","GM","6","min_date","CI95","2023-7-5"
"35","GM","6","max_date","CI95","2023-7-31"
"36","GM","6","min_date","CI99","2023-7-2"
"37","GM","6","max_date","CI99","2023-8-4"
"38","GM","7","min_date","CI66","2023-7-6"
"39","GM","7","max_date","CI66","2023-7-21"
"40","GM","7","min_date","CI95","2023-6-29"
"41","GM","7","max_date","CI95","2023-7-28"
"42","GM","7","min_date","CI99","2023-6-25"
"43","GM","7","max_date","CI99","2023-8-1"
"44","GM","8","min_date","CI66","2023-7-5"
"45","GM","8","max_date","CI66","2023-7-18"
"46","GM","8","min_date","CI95","2023-6-29"
"47","GM","8","max_date","CI95","2023-7-24"
"48","GM","8","min_date","CI99","2023-6-27"
"49","GM","8","max_date","CI99","2023-7-26"
"50","GM","9","min_date","CI66","2023-7-14"
"51","GM","9","max_date","CI66","2023-7-27"
"52","GM","9","min_date","CI95","2023-7-8"
"53","GM","9","max_date","CI95","2023-8-2"
"54","GM","9","min_date","CI99","2023-7-5"
"55","GM","9","max_date","CI99","2023-8-4"
"56","GM","10","min_date","CI66","2023-7-6"
"57","GM","10","max_date","CI66","2023-7-18"
"58","GM","10","min_date","CI95","2023-6-29"
"59","GM","10","max_date","CI95","2023-7-25"
"60","GM","10","min_date","CI99","2023-6-27"
"61","GM","10","max_date","CI99","2023-7-28"
"62","GM","11","min_date","CI66","2023-7-7"
"63","GM","11","max_date","CI66","2023-7-18"
"64","GM","11","min_date","CI95","2023-7-1"
"65","GM","11","max_date","CI95","2023-7-23"
"66","GM","11","min_date","CI99","2023-6-28"
"67","GM","11","max_date","CI99","2023-7-25"
"68","GM","12","min_date","CI66","2023-7-4"
"69","GM","12","max_date","CI66","2023-7-16"
"70","GM","12","min_date","CI95","2023-6-28"
"71","GM","12","max_date","CI95","2023-7-22"
"72","GM","12","min_date","CI99","2023-6-26"
"73","GM","12","max_date","CI99","2023-7-25"
"74","GM","13","min_date","CI66","2023-7-8"
"75","GM","13","max_date","CI66","2023-7-21"
"76","GM","13","min_date","CI95","2023-6-30"
"77","GM","13","max_date","CI95","2023-7-27"
"78","GM","13","min_date","CI99","2023-6-27"
"79","GM","13","max_date","CI99","2023-7-29"
"80","GM","14","min_date","CI66","2023-7-2"
"81","GM","14","max_date","CI66","2023-7-15"
"82","GM","14","min_date","CI95","2023-6-25"
"83","GM","14","max_date","CI95","2023-7-21"
"84","GM","14","min_date","CI99","2023-6-22"
"85","GM","14","max_date","CI99","2023-7-24"
"86","GM","15","min_date","CI66","2023-7-16"
"87","GM","15","max_date","CI66","2023-7-28"
"88","GM","15","min_date","CI95","2023-7-10"
"89","GM","15","max_date","CI95","2023-8-2"
"90","GM","15","min_date","CI99","2023-7-7"
"91","GM","15","max_date","CI99","2023-8-7"
"92","GM","16","min_date","CI66","2023-7-5"
"93","GM","16","max_date","CI66","2023-7-18"
"94","GM","16","min_date","CI95","2023-6-30"
"95","GM","16","max_date","CI95","2023-7-23"
"96","GM","16","min_date","CI99","2023-6-27"
"97","GM","16","max_date","CI99","2023-7-26"
"98","GM","17","min_date","CI66","2023-7-7"
"99","GM","17","max_date","CI66","2023-7-19"
"100","GM","17","min_date","CI95","2023-7-1"
"101","GM","17","max_date","CI95","2023-7-25"
"102","GM","17","min_date","CI99","2023-6-29"
"103","GM","17","max_date","CI99","2023-7-28"
"104","GM","18","min_date","CI66","2023-7-6"
"105","GM","18","max_date","CI66","2023-7-18"
"106","GM","18","min_date","CI95","2023-6-30"
"107","GM","18","max_date","CI95","2023-7-23"
"108","GM","18","min_date","CI99","2023-6-28"
"109","GM","18","max_date","CI99","2023-7-24"
"110","GM","19","min_date","CI66","2023-7-2"
"111","GM","19","max_date","CI66","2023-7-13"
"112","GM","19","min_date","CI95","2023-6-26"
"113","GM","19","max_date","CI95","2023-7-18"
"114","GM","19","min_date","CI99","2023-6-23"
"115","GM","19","max_date","CI99","2023-7-21"
"116","GM","20","min_date","CI66","2023-7-21"
"117","GM","20","max_date","CI66","2023-8-1"
"118","GM","20","min_date","CI95","2023-7-14"
"119","GM","20","max_date","CI95","2023-8-7"
"120","GM","20","min_date","CI99","2023-7-12"
"121","GM","20","max_date","CI99","2023-8-9"
"122","GM","21","min_date","CI66","2023-7-4"
"123","GM","21","max_date","CI66","2023-7-17"
"124","GM","21","min_date","CI95","2023-6-27"
"125","GM","21","max_date","CI95","2023-7-23"
"126","GM","21","min_date","CI99","2023-6-24"
"127","GM","21","max_date","CI99","2023-7-27"
"128","GM","22","min_date","CI66","2023-7-2"
"129","GM","22","max_date","CI66","2023-7-14"
"130","GM","22","min_date","CI95","2023-6-25"
"131","GM","22","max_date","CI95","2023-7-20"
"132","GM","22","min_date","CI99","2023-6-22"
"133","GM","22","max_date","CI99","2023-7-23"
"134","GM","23","min_date","CI66","2023-7-7"
"135","GM","23","max_date","CI66","2023-7-22"
"136","GM","23","min_date","CI95","2023-6-30"
"137","GM","23","max_date","CI95","2023-7-28"
"138","GM","23","min_date","CI99","2023-6-27"
"139","GM","23","max_date","CI99","2023-8-2"
"140","GM","24","min_date","CI66","2023-8-10"
"141","GM","24","max_date","CI66","2023-8-30"
"142","GM","24","min_date","CI95","2023-8-1"
"143","GM","24","max_date","CI95","2023-9-8"
"144","GM","24","min_date","CI99","2023-7-28"
"145","GM","24","max_date","CI99","2023-9-13"
"146","GM","25","min_date","CI66","2023-7-15"
"147","GM","25","max_date","CI66","2023-7-29"
"148","GM","25","min_date","CI95","2023-7-9"
"149","GM","25","max_date","CI95","2023-8-5"
"150","GM","25","min_date","CI99","2023-7-6"
"151","GM","25","max_date","CI99","2023-8-8"
"152","GM","26","min_date","CI66","2023-7-19"
"153","GM","26","max_date","CI66","2023-8-2"
"154","GM","26","min_date","CI95","2023-7-11"
"155","GM","26","max_date","CI95","2023-8-8"
"156","GM","26","min_date","CI99","2023-7-8"
"157","GM","26","max_date","CI99","2023-8-12"
"158","GM","27","min_date","CI66","2023-7-23"
"159","GM","27","max_date","CI66","2023-8-6"
"160","GM","27","min_date","CI95","2023-7-15"
"161","GM","27","max_date","CI95","2023-8-11"
"162","GM","27","min_date","CI99","2023-7-12"
"163","GM","27","max_date","CI99","2023-8-15"
"164","GM","28","min_date","CI66","2023-7-4"
"165","GM","28","max_date","CI66","2023-7-18"
"166","GM","28","min_date","CI95","2023-6-28"
"167","GM","28","max_date","CI95","2023-7-24"
"168","GM","28","min_date","CI99","2023-6-25"
"169","GM","28","max_date","CI99","2023-7-28"
"170","GM","29","min_date","CI66","2023-6-28"
"171","GM","29","max_date","CI66","2023-7-10"
